Source,Target,Weight
Orson Pratt,Lorenzo Snow,4
Orson Pratt,Heber M. Wells,0
Orson Pratt,Franklin D. Roosevelt,0
Orson Pratt,William Spry,0
Orson Pratt,Thomas Kearns,0
Orson Pratt,Willard Richards,3
Orson Pratt,Orson Hyde,0
Orson Pratt,Uncle Sam,1
Orson Pratt,Lot Smith,0
Orson Pratt,Albert Sidney Johnston,0
Orson Pratt,Woodrow Wilson,0
Orson Pratt,Juanita Brooks,0
Orson Pratt,Thomas L. Kane,1
Orson Pratt,Jim Bridger,1
Orson Pratt,John C. Fremont,0
Orson Pratt,Leonard Arrington,0
Orson Pratt,Howard Stansbury,0
Orson Pratt,John T. Caine,0
Orson Pratt,Erastus Snow,8
Orson Pratt,Orson F. Whitney,0
Orson Pratt,David O. McKay,0
Orson Pratt,Kit Carson,0
Orson Pratt,William H. King,0
Orson Pratt,Emmeline B. Wells,2
Orson Pratt,Andrew Jenson,1
Orson Pratt,Grover Cleveland,0
Orson Pratt,Charles Kelly,0
Orson Pratt,Frank J. Cannon,0
Daniel H. Wells,Reed Smoot,0
Daniel H. Wells,John D. Lee,0
Daniel H. Wells,Heber J. Grant,0
Daniel H. Wells,John Wesley Powell,0
Daniel H. Wells,Jacob Hamblin,0
Daniel H. Wells,Theodore Roosevelt,0
Daniel H. Wells,Abraham Lincoln,0
Daniel H. Wells,James Buchanan,1
Daniel H. Wells,Parley P. Pratt,3
Daniel H. Wells,B. H. Roberts,1
Daniel H. Wells,Simon Bamberger,0
Daniel H. Wells,Franklin D. Richards,1
Daniel H. Wells,Lorenzo Snow,2
Daniel H. Wells,Heber M. Wells,3
Daniel H. Wells,Franklin D. Roosevelt,0
Daniel H. Wells,William Spry,0
Daniel H. Wells,Thomas Kearns,0
Daniel H. Wells,Willard Richards,2
Daniel H. Wells,Orson Hyde,1
Daniel H. Wells,Uncle Sam,0
Daniel H. Wells,Lot Smith,2
Daniel H. Wells,Albert Sidney Johnston,2
Daniel H. Wells,Woodrow Wilson,0
Daniel H. Wells,Juanita Brooks,0
Daniel H. Wells,Thomas L. Kane,0
Daniel H. Wells,Jim Bridger,0
Daniel H. Wells,John C. Fremont,0
Daniel H. Wells,Leonard Arrington,0
Daniel H. Wells,Howard Stansbury,0
Daniel H. Wells,John T. Caine,1
Daniel H. Wells,Erastus Snow,0
Daniel H. Wells,Orson F. Whitney,0
Daniel H. Wells,David O. McKay,0
Daniel H. Wells,Kit Carson,0
Daniel H. Wells,William H. King,0
Daniel H. Wells,Emmeline B. Wells,0
Daniel H. Wells,Andrew Jenson,0
Daniel H. Wells,Grover Cleveland,0
Daniel H. Wells,Charles Kelly,0
Daniel H. Wells,Frank J. Cannon,0
Reed Smoot,John D. Lee,0
Reed Smoot,Heber J. Grant,5
Reed Smoot,John Wesley Powell,0
Reed Smoot,Jacob Hamblin,0
Reed Smoot,Theodore Roosevelt,7
Reed Smoot,Abraham Lincoln,0
Reed Smoot,James Buchanan,0
Reed Smoot,Parley P. Pratt,0
Reed Smoot,B. H. Roberts,3
Reed Smoot,Simon Bamberger,3
Reed Smoot,Franklin D. Richards,0
Reed Smoot,Lorenzo Snow,1
Reed Smoot,Heber M. Wells,0
Reed Smoot,Franklin D. Roosevelt,1
Reed Smoot,William Spry,5
Reed Smoot,Thomas Kearns,6
Reed Smoot,Willard Richards,0
Reed Smoot,Orson Hyde,0
Reed Smoot,Uncle Sam,0
Reed Smoot,Lot Smith,0
Reed Smoot,Albert Sidney Johnston,0
Reed Smoot,Woodrow Wilson,2
Reed Smoot,Juanita Brooks,0
Reed Smoot,Thomas L. Kane,0
Reed Smoot,Jim Bridger,0
Reed Smoot,John C. Fremont,0
Reed Smoot,Leonard Arrington,0
Reed Smoot,Howard Stansbury,0
Reed Smoot,John T. Caine,0
Reed Smoot,Erastus Snow,0
Reed Smoot,Orson F. Whitney,0
Reed Smoot,David O. McKay,0
Reed Smoot,Kit Carson,0
Reed Smoot,William H. King,9
Reed Smoot,Emmeline B. Wells,1
Reed Smoot,Andrew Jenson,0
Reed Smoot,Grover Cleveland,1
Reed Smoot,Charles Kelly,0
Reed Smoot,Frank J. Cannon,2
John D. Lee,Heber J. Grant,0
John D. Lee,John Wesley Powell,2
John D. Lee,Jacob Hamblin,12
John D. Lee,Theodore Roosevelt,0
John D. Lee,Abraham Lincoln,0
John D. Lee,James Buchanan,0
John D. Lee,Parley P. Pratt,1
John D. Lee,B. H. Roberts,1
John D. Lee,Simon Bamberger,0
John D. Lee,Franklin D. Richards,1
John D. Lee,Lorenzo Snow,0
John D. Lee,Heber M. Wells,0
John D. Lee,Franklin D. Roosevelt,0
John D. Lee,William Spry,0
John D. Lee,Thomas Kearns,0
John D. Lee,Willard Richards,0
John D. Lee,Orson Hyde,0
John D. Lee,Uncle Sam,0
John D. Lee,Lot Smith,0
John D. Lee,Albert Sidney Johnston,0
John D. Lee,Woodrow Wilson,0
John D. Lee,Juanita Brooks,5
John D. Lee,Thomas L. Kane,0
John D. Lee,Jim Bridger,0
John D. Lee,John C. Fremont,0
John D. Lee,Leonard Arrington,0
John D. Lee,Howard Stansbury,0
John D. Lee,John T. Caine,0
John D. Lee,Erastus Snow,4
John D. Lee,Orson F. Whitney,1
John D. Lee,David O. McKay,0
John D. Lee,Kit Carson,0
John D. Lee,William H. King,0
John D. Lee,Emmeline B. Wells,1
John D. Lee,Andrew Jenson,0
John D. Lee,Grover Cleveland,0
John D. Lee,Charles Kelly,0
John D. Lee,Frank J. Cannon,0
Heber J. Grant,John Wesley Powell,0
Heber J. Grant,Jacob Hamblin,0
Heber J. Grant,Theodore Roosevelt,0
Heber J. Grant,Abraham Lincoln,0
Heber J. Grant,James Buchanan,0
Heber J. Grant,Parley P. Pratt,0
Heber J. Grant,B. H. Roberts,0
Heber J. Grant,Simon Bamberger,2
Heber J. Grant,Franklin D. Richards,0
Heber J. Grant,Lorenzo Snow,2
Heber J. Grant,Heber M. Wells,1
Heber J. Grant,Franklin D. Roosevelt,2
Heber J. Grant,William Spry,1
Heber J. Grant,Thomas Kearns,0
Heber J. Grant,Willard Richards,0
Heber J. Grant,Orson Hyde,0
Heber J. Grant,Uncle Sam,0
Heber J. Grant,Lot Smith,0
Heber J. Grant,Albert Sidney Johnston,0
Heber J. Grant,Woodrow Wilson,1
Heber J. Grant,Juanita Brooks,0
Heber J. Grant,Thomas L. Kane,0
Heber J. Grant,Jim Bridger,0
Heber J. Grant,John C. Fremont,0
Heber J. Grant,Leonard Arrington,0
Heber J. Grant,Howard Stansbury,0
Heber J. Grant,John T. Caine,0
Heber J. Grant,Erastus Snow,0
Heber J. Grant,Orson F. Whitney,0
Heber J. Grant,David O. McKay,7
Heber J. Grant,Kit Carson,0
Heber J. Grant,William H. King,0
Heber J. Grant,Emmeline B. Wells,0
Heber J. Grant,Andrew Jenson,0
Heber J. Grant,Grover Cleveland,0
Heber J. Grant,Charles Kelly,0
Heber J. Grant,Frank J. Cannon,0
John Wesley Powell,Jacob Hamblin,3
John Wesley Powell,Theodore Roosevelt,1
John Wesley Powell,Abraham Lincoln,0
John Wesley Powell,James Buchanan,0
John Wesley Powell,Parley P. Pratt,0
John Wesley Powell,B. H. Roberts,0
John Wesley Powell,Simon Bamberger,0
John Wesley Powell,Franklin D. Richards,0
John Wesley Powell,Lorenzo Snow,0
John Wesley Powell,Heber M. Wells,0
John Wesley Powell,Franklin D. Roosevelt,0
John Wesley Powell,William Spry,0
John Wesley Powell,Thomas Kearns,0
John Wesley Powell,Willard Richards,0
John Wesley Powell,Orson Hyde,0
John Wesley Powell,Uncle Sam,0
John Wesley Powell,Lot Smith,0
John Wesley Powell,Albert Sidney Johnston,0
John Wesley Powell,Woodrow Wilson,0
John Wesley Powell,Juanita Brooks,0
John Wesley Powell,Thomas L. Kane,0
John Wesley Powell,Jim Bridger,0
John Wesley Powell,John C. Fremont,0
John Wesley Powell,Leonard Arrington,0
John Wesley Powell,Howard Stansbury,1
John Wesley Powell,John T. Caine,1
John Wesley Powell,Erastus Snow,0
John Wesley Powell,Orson F. Whitney,0
John Wesley Powell,David O. McKay,0
John Wesley Powell,Kit Carson,0
John Wesley Powell,William H. King,0
John Wesley Powell,Emmeline B. Wells,0
John Wesley Powell,Andrew Jenson,0
John Wesley Powell,Grover Cleveland,0
John Wesley Powell,Charles Kelly,2
John Wesley Powell,Frank J. Cannon,0
Jacob Hamblin,Theodore Roosevelt,0
Jacob Hamblin,Abraham Lincoln,0
Jacob Hamblin,James Buchanan,0
Jacob Hamblin,Parley P. Pratt,1
Jacob Hamblin,B. H. Roberts,0
Jacob Hamblin,Simon Bamberger,0
Jacob Hamblin,Franklin D. Richards,0
Jacob Hamblin,Lorenzo Snow,0
Jacob Hamblin,Heber M. Wells,0
Jacob Hamblin,Franklin D. Roosevelt,0
Jacob Hamblin,William Spry,0
Jacob Hamblin,Thomas Kearns,0
Jacob Hamblin,Willard Richards,0
Jacob Hamblin,Orson Hyde,1
Jacob Hamblin,Uncle Sam,0
Jacob Hamblin,Lot Smith,0
Jacob Hamblin,Albert Sidney Johnston,0
Jacob Hamblin,Woodrow Wilson,0
Jacob Hamblin,Juanita Brooks,0
Jacob Hamblin,Thomas L. Kane,0
Jacob Hamblin,Jim Bridger,0
Jacob Hamblin,John C. Fremont,0
Jacob Hamblin,Leonard Arrington,0
Jacob Hamblin,Howard Stansbury,0
Jacob Hamblin,John T. Caine,0
Jacob Hamblin,Erastus Snow,4
Jacob Hamblin,Orson F. Whitney,1
Jacob Hamblin,David O. McKay,0
Jacob Hamblin,Kit Carson,0
Jacob Hamblin,William H. King,0
Jacob Hamblin,Emmeline B. Wells,0
Jacob Hamblin,Andrew Jenson,0
Jacob Hamblin,Grover Cleveland,0
Jacob Hamblin,Charles Kelly,0
Jacob Hamblin,Frank J. Cannon,0
Theodore Roosevelt,Abraham Lincoln,0
Theodore Roosevelt,James Buchanan,0
Theodore Roosevelt,Parley P. Pratt,0
Theodore Roosevelt,B. H. Roberts,0
Theodore Roosevelt,Simon Bamberger,0
Theodore Roosevelt,Franklin D. Richards,0
Theodore Roosevelt,Lorenzo Snow,0
Theodore Roosevelt,Heber M. Wells,1
Theodore Roosevelt,Franklin D. Roosevelt,1
Theodore Roosevelt,William Spry,0
Theodore Roosevelt,Thomas Kearns,0
Theodore Roosevelt,Willard Richards,0
Theodore Roosevelt,Orson Hyde,0
Theodore Roosevelt,Uncle Sam,0
Theodore Roosevelt,Lot Smith,0
Theodore Roosevelt,Albert Sidney Johnston,0
Theodore Roosevelt,Woodrow Wilson,7
Theodore Roosevelt,Juanita Brooks,0
Theodore Roosevelt,Thomas L. Kane,0
Theodore Roosevelt,Jim Bridger,0
Theodore Roosevelt,John C. Fremont,0
Theodore Roosevelt,Leonard Arrington,0
Theodore Roosevelt,Howard Stansbury,0
Theodore Roosevelt,John T. Caine,0
Theodore Roosevelt,Erastus Snow,0
Theodore Roosevelt,Orson F. Whitney,0
Theodore Roosevelt,David O. McKay,0
Theodore Roosevelt,Kit Carson,0
Theodore Roosevelt,William H. King,0
Theodore Roosevelt,Emmeline B. Wells,0
Theodore Roosevelt,Andrew Jenson,0
Theodore Roosevelt,Grover Cleveland,0
Theodore Roosevelt,Charles Kelly,0
Theodore Roosevelt,Frank J. Cannon,0
Abraham Lincoln,James Buchanan,4
Abraham Lincoln,Parley P. Pratt,0
Abraham Lincoln,B. H. Roberts,0
Abraham Lincoln,Simon Bamberger,0
Abraham Lincoln,Franklin D. Richards,0
Abraham Lincoln,Lorenzo Snow,0
Abraham Lincoln,Heber M. Wells,0
Abraham Lincoln,Franklin D. Roosevelt,0
Abraham Lincoln,William Spry,0
Abraham Lincoln,Thomas Kearns,0
Abraham Lincoln,Willard Richards,0
Abraham Lincoln,Orson Hyde,0
Abraham Lincoln,Uncle Sam,1
Abraham Lincoln,Lot Smith,2
Abraham Lincoln,Albert Sidney Johnston,0
Abraham Lincoln,Woodrow Wilson,0
Abraham Lincoln,Juanita Brooks,0
Abraham Lincoln,Thomas L. Kane,1
Abraham Lincoln,Jim Bridger,0
Abraham Lincoln,John C. Fremont,0
Abraham Lincoln,Leonard Arrington,0
Abraham Lincoln,Howard Stansbury,0
Abraham Lincoln,John T. Caine,0
Abraham Lincoln,Erastus Snow,0
Abraham Lincoln,Orson F. Whitney,0
Abraham Lincoln,David O. McKay,0
Abraham Lincoln,Kit Carson,0
Abraham Lincoln,William H. King,0
Abraham Lincoln,Emmeline B. Wells,0
Abraham Lincoln,Andrew Jenson,0
Abraham Lincoln,Grover Cleveland,1
Abraham Lincoln,Charles Kelly,0
Abraham Lincoln,Frank J. Cannon,0
James Buchanan,Parley P. Pratt,0
James Buchanan,B. H. Roberts,0
James Buchanan,Simon Bamberger,0
James Buchanan,Franklin D. Richards,0
James Buchanan,Lorenzo Snow,0
James Buchanan,Heber M. Wells,0
James Buchanan,Franklin D. Roosevelt,0
James Buchanan,William Spry,0
James Buchanan,Thomas Kearns,0
James Buchanan,Willard Richards,0
James Buchanan,Orson Hyde,0
James Buchanan,Uncle Sam,0
James Buchanan,Lot Smith,1
James Buchanan,Albert Sidney Johnston,7
James Buchanan,Woodrow Wilson,0
James Buchanan,Juanita Brooks,0
James Buchanan,Thomas L. Kane,5
James Buchanan,Jim Bridger,0
James Buchanan,John C. Fremont,1
James Buchanan,Leonard Arrington,0
James Buchanan,Howard Stansbury,0
